date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Bienes y Servicios Diversos,"Muebles, Bienes y Servicios Domésticos",Prendas de Vestir y Calzado
2024-12-26,2024_12.csv,110.14866933210905,109.67121670682278,105.58649716248915,111.00414365741767,108.32209919710047,113.00333795833694
2024-12-27,2024_12.csv,110.15036970557694,109.67430389634522,105.58649716248915,111.00414365741767,108.32209919710047,113.00333795833694
2024-12-28,2024_12.csv,110.18035313455032,109.74888306328394,105.55193231647813,110.84845625400833,108.43078843531289,113.00333795833694
2024-12-29,2024_12.csv,110.19971877505031,109.78404322284656,105.55193231647813,110.84845625400833,108.43078843531289,113.00333795833694
2024-12-30,2024_12.csv,110.27563106987729,109.90665483348127,105.59586230084163,110.8536678946316,108.48567241362352,113.00333795833694
2024-12-31,2024_12.csv,110.2769222052578,109.90899901238906,105.59586230084163,110.8536678946316,108.48567241362352,113.00333795833694
2025-01-01,2025_01.csv,110.78737250243272,110.19263798013637,105.58525488623577,112.82772904688008,108.89822594295549,113.00333795833694
2025-01-02,2025_01.csv,110.70090591143114,110.02878936949088,105.59907506627981,112.83850268066722,108.91338007036128,113.00333795833694
2025-01-03,2025_01.csv,110.70090591143114,110.02878936949088,105.59907506627981,112.83850268066722,108.91338007036128,113.00333795833694
2025-01-04,2025_01.csv,110.71182661441823,110.10753956877004,105.6603847823064,112.62279784392662,108.91011900334651,113.00333795833694
2025-01-05,2025_01.csv,110.72817634204726,110.14045554935454,105.69507887425527,112.6071720005998,108.91011900334651,113.00333795833694
2025-01-06,2025_01.csv,110.77775013546385,110.14045554935454,105.69507887425527,112.90820638478085,108.9368872385422,113.00333795833694
2025-01-07,2025_01.csv,110.97730587987894,110.13487562845361,105.69507887425527,114.11808648831894,109.07184967291393,113.00333795833694
2025-01-08,2025_01.csv,110.97730587987894,110.13487562845361,105.69507887425527,114.11808648831894,109.07184967291393,113.00333795833694
2025-01-09,2025_01.csv,110.97616318804764,110.12692287350932,105.70353200542593,114.13606720687682,109.07445952794336,113.00333795833694
2025-01-10,2025_01.csv,110.97494036823409,110.12692287350932,105.70353200542593,114.12810997012978,109.07445952794336,113.00333795833694
2025-01-11,2025_01.csv,110.97494036823409,110.12692287350932,105.70353200542593,114.12810997012978,109.07445952794336,113.00333795833694
2025-01-12,2025_01.csv,110.9358703325284,110.13448372270713,105.70353200542593,113.81953974781563,109.10827494652202,113.00333795833694
2025-01-13,2025_01.csv,110.93160069574134,110.14119109632826,105.70353200542593,113.823748111476,109.03869568152686,113.00333795833694
2025-01-14,2025_01.csv,110.88587678543917,110.05817499458597,105.70353200542593,113.823748111476,109.03869568152686,113.00333795833694
2025-01-15,2025_01.csv,110.97742611274737,110.21410124125156,106.00813995682353,113.82619250213797,109.03737069290071,113.00333795833694
2025-01-16,2025_01.csv,111.04846383194787,110.33649049452944,106.2521312304774,113.84509688361999,109.0078952898772,113.00333795833694
2025-01-17,2025_01.csv,111.10336677952706,110.40709850945203,106.61986076987218,113.84509688361999,109.08406748331356,113.00333795833694
2025-01-18,2025_01.csv,111.10493913909083,110.40997518473785,106.58093075594705,113.84606290113885,109.08840501162283,113.00333795833694
2025-01-19,2025_01.csv,111.13560236575273,110.45542103161299,106.83119160337868,113.85396903174127,109.0878785112396,113.00333795833694
