id_producto,producto,proveedor,categoria,Govt Cat.,,,,,,,,,,,,,,
7436942803103,Leche de Banana Soy Pil de 946 ml,Soy,Leche de Banana,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436943065247,Leche Deslactosada Pil de 1000 ml,Pil,Leche Deslactosada,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436943294623,Leche Enriquecida Bonle de 900 ml,Bonle,Leche,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436944375967,Sal Yodada y Fluorada de 1000 gr,Industria Salinera Boliviana SRL,Sal,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436944474271,Sante Sport Uva de 500 ml,Sante,Rehidratante,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436944539807,Azucar Unagro de 1000 gr,Unagro,Azucar,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436945457311,Papel Toalla Multiuso Scott de 3 Uni,Scott,Papel Toalla,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436945817759,Limonada Cero Azucar La CabaÃ±a de 2000 ml,La CabaÃ±a,Limonada,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436946079903,Sopa Instantanea de Gallina Ajinomen de 85 gr,Ajinomen,Sopa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436946342047,Powerade sabor Uva de 990 ml,Powerade,Rehidratante,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436946473119,Nectar de Durazno Pil de 330 ml,Pil,Nectar de Frutas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436946997407,Limonada con Gas La CabaÃ±a de 500 ml,La CabaÃ±a,Limonada,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436947259551,Esponja de Acero Bombril de 8 Uni 60 gr,Bombril,Bombril,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436947554463,Jabon Blanco Extremo Bolivar de 210 gr,Bolivar,Jabon,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436947783839,Pate Higado de Cerdo Sofia de 100 gr,Sofia,Higado de Cerdo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436947849375,Limonada Cero La CabaÃ±a de 500 ml,La CabaÃ±a,Limonada,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436947980447,Detergente Patito Limon de 640 gr,Patito,Detergente,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436948144287,Cheetos Horneados Queso de 29 gr,Frito lay,Cheetos,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436948668575,Jugo de Manzana Aquarius de 500 ml,Aquarius,Jugos de Frutas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436949029023,Mayonesa Light Hellmanns de 475 gr,Hellmanns,Mayonesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436949553311,Papel Higienico Clasico Nacional de 6 Uni,Nacional,Papel Higienico,Bienes y Servicios Diversos,,,,,,,,,,,,,,
7436949618847,Te Clasico Windsor de 50 u,Windsor,Te,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436949651615,Insecticida Mata Moscas y Mosquitos Baygon Azul de 300 ml,Baygon,Insecticida,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436949717151,Papel Toalla Clasica Megarrollo Nova de 1 Uni,Nova,Papel Toalla,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436949880991,Toallas Femeninas Invisible Nosotras de 10 Uni,Nosotras,Toalla Femenina,Bienes y Servicios Diversos,,,,,,,,,,,,,,
7436949946527,Chocolate Costa Vizzio de 21 gr,Vizzio,Chocolate,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436949979295,Detergente en Polvo Omo Matic de 2000 gr,Omo,Detergente,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436950339743,Empanadas Integrales con Queso Bread King de 5 Uni,Bread King,Empanada Integral,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436950831263,Ketchup Hellmanns de 500 G,Hellmanns,Ketchup,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436950864031,Ketchup Hellmanns de 400 G,Hellmanns,Ketchup,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436951158943,Papel Higienico Doble Hoja Scott de 6 Uni,Scott,Papel Higienico,Bienes y Servicios Diversos,,,,,,,,,,,,,,
7436951879839,Mayonesa Clasica Hellmanns de 475 gr,Hellmanns,Mayonesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436952141983,Sante Sport de Naranja de 500 ml,Sante,Rehidratante,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436952240287,Salsa Roja Don Vittorio de 200 gr,Don Vittorio,Salsa Roja,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436953288863,Hamburguesa sabor Picana de Res Sofia de 83 gr,Sofia,Hamburguesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436953682079,Juguito de PiÃ±a Pil de 150 ml,Pil,Jugo de Frutas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436954304671,Caldo de Pollo Maggi de 75 gr,Maggi,Caldo de Pollo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436954763423,Gomitas Tiburoncin Mogul de 30 gr,Mogul,Masticable,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436956860575,Fideo Instantaneo sabor Mexicano Nissin de 85 gr,Nissin,Fideo,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436956893343,Sopa Instantanea sabor Pollo Picante Maruchan de 64 gr,Maruchan,Sopa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436956991647,Sopa con Fideos Caracolitos Knorr de 1075 gr,Knorr,Sopa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436957253791,Atun Solido en Aceite Norte de 170 gr,Norte,Atun en Aceite,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436957286559,Pickeos de Queso Dr Picks de 200 gr,Dr. Picks,Pickeos,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436957483167,Atun Desmenuzado en Agua Gustoso 170 gr,Gustoso,Atun en Agua,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436958040223,Pate de Higado de Cerdo Sofia de 240 gr,Sofia,Pate de Higado,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436958269599,Mermelada Dietetica de Durazno Arcor de 390 gr,Arcor,Mermelada,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436958433439,Sopa Instantanea sabor Pollo Ajinomen de 51 gr,Ajinomen,Sopa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436959678623,Sopa Instantanea sabor Camaron Nissin Ramen de 85 gr,Nissin Ramen,Sopa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436959776927,Sopa Instantanea Calabresa Hot de 85 gr,Nissin Ramen,Sopa Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436959940767,Saca Grasa Sapolio de 500 ml,Sapolio,Saca Grasa,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436960792735,Sopa Instantanea sabor Gallina Ajinomen Ajinomoto de 51 gr,Ajinomen,Sopa Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436962398367,Sopa Instantanea saboor Costilla Nissin Ramen de 85 gr,Nissin Ramen,Sopa Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436963610783,Galletas Cookies Visconti de 60 gr,Visconti,Galletas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436963676319,Dulce de Leche Sancor de 250 gr,Sancor,Dulce de Leche,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436964003999,Insecticida Mata Todo Tyson de 500 ml,Tyson,Insectisida,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436964069535,Papas Pre Fritas Tradiconales Sofia de 400 gr,Sofia,Papas Fritas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436964135071,Mostaza con Miel Cepera de 400 gr,Cepera,Mostaza,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436964757663,Salsa Barbacoa Hellmanns de 500 gr,Hellmanns,Salsa Barbacoa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436966363295,Dulce de Leche Estilo Colonia La Serenisima,La Serenisima,Dulce de Leche,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436966625439,Papas Fritas Congeladas Simplot de 2500 gr,Simplot,Papas Fritas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436966658207,Ketchup Heinz de 567 G,Heinz,Ketchup,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436966953119,Sopa de Gallina Picante Ajinomen Ajinomoto de 51 gr,Ajinomen,Sopa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436967116959,Hamburguesa de Res Premium Fridosa de 600 gr 4 Uni,Fridosa,Hamburguesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436967837855,Endulcorante Liquido Dietetico Chuker de 500Cc+100 ml,Ckuker,Endulcorante,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436967936159,Mayonesa Hellmanns de 950 gr,Hellmanns,Mayonesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436968689823,Margarina Reyna Pil de 850 gr,Reyna,Margarina,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436969476255,Insecticida Mata Mosca Tyson de 500 ml,Tyson,Insectisida,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436969771167,Lavavajilla Proteccion Colageno y Pomelo Ola de 1100 ml,Ola,Lavavajilla,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436969902239,Lavavajilla Limon Sapolio de 1250 ml,Sapolio,Lavavajilla,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436983697567,Pan Molde con Semillas Oroweat de 600 gr,Oroweat,Pan Molde,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436984516767,Cuernito con Queso Fidalga,Fidalga,Cuernito con Queso,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450140672159,Nachos Crespas Mexican Food de 200 gr,Mexican Food,Nachos,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450141917343,Pan Molde Blanco 3 Hermanos,3 Hermanos,Pan Molde,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450144931999,Pan Molde Integral American King de 300 gr,American King,Pan Molde,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450145292447,Pan de Hamburguesa Junior American Bread de 8 Uni,American Bread,Pan Hamburguesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450148044959,Pan para Panchito Victoria de 14 Uni 470 gr,Victoria,Pan para Panchito,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
