date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Prendas de Vestir y Calzado,Vivienda y Servicios Básicos,"Muebles, Bienes y Servicios Domésticos",Salud,Transporte,Comunicaciones,Recreación y Cultura,Educación,Bienes y Servicios Diversos
2021-12-30,2021_12.csv,97.14754990788298,97.9822394152828,99.20938709677385,100.0,100.0,78.43483333794674,100.0,100.0,100.0,97.17616072323204,100.0,92.97173964649167
2021-12-31,2021_12.csv,97.54969486548997,98.40674016297545,99.41583466224367,100.0,100.0,78.48722217366448,100.0,100.0,100.0,97.17616072323204,100.0,95.92504815243792
2022-01-01,2022_01.csv,97.54969486548997,98.40674016297545,99.41583466224367,100.0,100.0,78.48722217366448,100.0,100.0,100.0,97.17616072323204,100.0,95.92504815243792
2022-01-02,2022_01.csv,98.56651900297408,99.9439957450183,101.82977361374716,100.0,100.0,79.5338383733386,100.0,100.0,100.0,97.79452921738657,100.0,99.40654233006718
2022-01-03,2022_01.csv,98.60509801756379,100.03346265949578,101.85004237022508,100.0,100.0,79.57750291693444,100.0,100.0,100.0,97.79452921738657,100.0,99.39392971883471
2022-01-04,2022_01.csv,98.37757954652099,98.82411609596244,101.0635713213515,100.0,100.0,93.23233397636328,100.0,100.0,100.0,97.30029379763405,100.0,92.45258823912401
2022-01-05,2022_01.csv,98.0666018818961,98.61176288922414,100.79996877174935,100.0,100.0,92.45377760493935,100.0,100.0,100.0,97.30029379763405,100.0,90.14565460747508
2022-01-06,2022_01.csv,98.08521508039169,98.61990574403622,100.79824884410432,100.0,100.0,92.40202451927468,100.0,100.0,100.0,97.30029379763405,100.0,90.38978459514585
2022-01-07,2022_01.csv,98.12545548137724,98.71820935105599,100.7889356243938,100.0,100.0,92.40202451927468,100.0,100.0,100.0,97.30029379763405,100.0,90.38978459514585
2022-01-08,2022_01.csv,98.57712949183276,98.71820935105599,100.7889356243938,100.0,100.0,92.40202451927468,100.0,100.0,100.0,97.30029379763405,100.0,96.37102533227721
2022-01-09,2022_01.csv,98.56968586294954,98.69839806424176,100.7889356243938,100.0,100.0,92.4132493312002,100.0,100.0,100.0,97.30029379763405,100.0,96.37102533227721
2022-01-10,2022_01.csv,98.52741937109705,98.7034178547304,100.7889356243938,100.0,100.0,91.7575203548157,100.0,100.0,100.0,97.30029379763405,100.0,96.31210701612716
2022-01-11,2022_01.csv,98.53934718299226,98.73385250975434,100.72577361388315,100.0,100.0,91.7575203548157,100.0,100.0,100.0,97.30029379763405,100.0,96.31210701612716
2022-01-12,2022_01.csv,98.44943325309067,98.51721982289843,100.72577361388315,100.0,100.0,91.7575203548157,100.0,100.0,100.0,97.30029379763405,100.0,96.29813506598173
2022-01-13,2022_01.csv,98.43833712390123,98.49463411572479,100.6889526277172,100.0,100.0,91.73272616446305,100.0,100.0,100.0,97.30029379763405,100.0,96.29813506598173
2022-01-14,2022_01.csv,98.42992667944846,98.47143193277127,100.6889526277172,100.0,100.0,91.75092440237987,100.0,100.0,100.0,97.30029379763405,100.0,96.29813506598173
2022-01-15,2022_01.csv,98.45574460779252,98.52319201398957,100.6889526277172,100.0,100.0,91.7331986806781,100.0,100.0,100.0,97.30029379763405,100.0,96.37315068624993
2022-01-16,2022_01.csv,98.45574460779252,98.52319201398957,100.6889526277172,100.0,100.0,91.7331986806781,100.0,100.0,100.0,97.30029379763405,100.0,96.37315068624993
2022-01-17,2022_01.csv,98.45639672806426,98.51846635876136,100.6889526277172,100.0,100.0,91.77579705332235,100.0,100.0,100.0,97.30029379763405,100.0,96.37315068624993
2022-01-18,2022_01.csv,98.47876872796708,98.57932348277897,100.6889526277172,100.0,100.0,91.73319868067811,100.0,100.0,100.0,97.30029379763405,100.0,96.37315068624993
2022-01-19,2022_01.csv,98.47390082845715,98.56745582628045,100.6889526277172,100.0,100.0,91.73319868067811,100.0,100.0,100.0,97.30029379763405,100.0,96.37315068624993
2022-01-20,2022_01.csv,98.46998744498761,98.56530497135763,100.6889526277172,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.30029379763405,100.0,96.34558382709201
2022-01-21,2022_01.csv,98.52023170833701,98.6877975694965,100.6889526277172,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.30029379763405,100.0,96.34558382709201
2022-01-22,2022_01.csv,98.52301031131131,98.69457164229266,100.6889526277172,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.30029379763405,100.0,96.34558382709201
2022-01-23,2022_01.csv,98.52301031131131,98.69457164229266,100.6889526277172,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.30029379763405,100.0,96.34558382709201
2022-01-24,2022_01.csv,98.52644733978826,98.69932067138745,100.85813038220284,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.30029379763405,100.0,96.34558382709201
2022-01-25,2022_01.csv,98.54462373103462,98.74363365838602,100.85813038220284,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.30029379763405,100.0,96.34558382709201
2022-01-26,2022_01.csv,98.57622185556946,98.74363365838602,100.85813038220284,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.80820062898331,100.0,96.34558382709201
2022-01-27,2022_01.csv,98.57622185556946,98.74363365838602,100.85813038220284,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.80820062898331,100.0,96.34558382709201
2022-01-28,2022_01.csv,98.56719006786922,98.72161468412928,100.85813038220284,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.80820062898331,100.0,96.34558382709201
