date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Prendas de Vestir y Calzado,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos
2025-01-04,2025_01.csv,108.44953449666632,109.76054865030106,105.83150635482221,100.0,105.78530924430022,112.23975233155983
2025-01-05,2025_01.csv,108.46941191196612,109.79324215384088,105.86625663535666,100.0,105.78530924430022,112.22419293156949
2025-01-06,2025_01.csv,108.50776920584353,109.79324215384088,105.86625663535666,100.0,105.81103872751146,112.5239469500945
2025-01-07,2025_01.csv,108.66086245576885,109.78769995638635,105.86625663535666,100.0,105.94076288885152,113.72867341657819
2025-01-08,2025_01.csv,108.66086245576885,109.78769995638635,105.86625663535666,100.0,105.94076288885152,113.72867341657819
2025-01-09,2025_01.csv,108.65822759803271,109.77979063637761,105.87472345673962,100.0,105.94329782370116,113.7465927782814
2025-01-10,2025_01.csv,108.65727845199511,109.77979063637761,105.87472345673962,100.0,105.94329782370116,113.73866269456592
2025-01-11,2025_01.csv,108.65727845199511,109.77979063637761,105.87472345673962,100.0,105.94329782370116,113.73866269456592
2025-01-12,2025_01.csv,108.59514696087068,109.77202456153198,105.87472345673962,100.0,105.94329782370116,113.26173981632613
2025-01-13,2025_01.csv,108.59348489381307,109.77871766834721,105.87472345673962,100.0,105.87570158577262,113.26593287938813
2025-01-14,2025_01.csv,108.53980829822689,109.69615439964261,105.87472345673962,100.0,105.87570158577262,113.26593287938813
2025-01-15,2025_01.csv,108.64559686511431,109.85207032153431,106.17982473391632,100.0,105.87441231961157,113.26836737698079
2025-01-16,2025_01.csv,108.7250336356832,109.97409233336637,106.42451359440258,100.0,105.84571671231241,113.26384974484878
2025-01-17,2025_01.csv,108.78283822950375,110.04420189691925,106.78734909715561,100.0,105.9200300896929,113.26384974484878
2025-01-18,2025_01.csv,108.78427806618464,110.04707772581995,106.74826179018818,100.0,105.9200300896929,113.26481451104026
2025-01-19,2025_01.csv,108.81546902094792,110.08973266854163,106.99984155539651,100.0,105.91951298970399,113.26481451104026
2025-01-20,2025_01.csv,108.84548851207175,110.13571725456296,107.00870704102937,100.0,105.91951298970399,113.26481451104026
2025-01-21,2025_01.csv,108.84548851207175,110.13571725456296,107.00870704102937,100.0,105.91951298970399,113.26481451104026
2025-01-22,2025_01.csv,108.94931175183427,110.29686085221853,106.97805266754922,100.0,105.91951298970399,113.26052932865987
2025-01-23,2025_01.csv,108.94931175183427,110.29686085221853,106.97805266754922,100.0,105.91951298970399,113.26052932865987
2025-01-24,2025_01.csv,108.95170589609273,110.30054343256047,106.97805266754922,100.0,105.91951298970399,113.26052932865987
2025-01-25,2025_01.csv,108.99188096499792,110.35241049994937,107.40677769086965,100.0,105.92179425079246,113.2626520869353
2025-01-26,2025_01.csv,109.03209386587933,110.40861457087802,107.67007409861453,100.0,105.92179425079246,113.2626520869353
2025-01-27,2025_01.csv,109.05247667022428,110.43915491882704,107.70790094939915,100.0,105.92179425079246,113.2626520869353
2025-01-28,2025_01.csv,109.05247667022428,110.43915491882704,107.70790094939915,100.0,105.92179425079246,113.2626520869353
2025-01-29,2025_01.csv,109.10336366360087,110.50746589064616,107.75852448532602,100.0,105.95307461022404,113.28567000626431
2025-01-30,2025_01.csv,109.16655478823566,110.60397287081734,107.79073458207834,100.0,105.95307461022404,113.28567000626431
2025-01-31,2025_01.csv,109.13529469851923,110.54131367571641,107.81620492762606,100.0,106.05966820524188,113.27603612149423
2025-02-01,2025_02.csv,109.26059768311656,110.72277608575904,107.75379139348854,100.0,106.09798131233019,113.31369427401039
2025-02-02,2025_02.csv,109.43199508849574,110.81478050832267,107.76104686574433,100.0,106.2010694619637,114.16210304177542
2025-02-03,2025_02.csv,109.46337051524354,110.81669524855067,107.76104686574433,100.0,106.30005865892227,114.33412742654266
2025-02-04,2025_02.csv,109.46337051524354,110.81669524855067,107.76104686574433,100.0,106.30005865892227,114.33412742654266
2025-02-05,2025_02.csv,109.46867794999636,110.82423607503485,107.76104686574433,100.0,106.30155789284686,114.3363033666528
2025-02-06,2025_02.csv,109.5647005043726,110.9561279478359,107.85462499771842,100.0,106.37377263345628,114.3530984192938
2025-02-07,2025_02.csv,109.58384060814574,110.98556851711193,107.85462499771842,100.0,106.37377263345628,114.3530984192938
2025-02-08,2025_02.csv,109.54772654695373,110.9696732794326,107.85462499771842,100.0,106.39790732552281,114.11827057683973
2025-02-09,2025_02.csv,109.65013749332775,111.12516725933878,107.91218405797876,100.0,106.41240160692311,114.11091920960497
2025-02-10,2025_02.csv,109.64665176470426,111.11817559424144,107.91218405797876,100.0,106.42339641351394,114.11091920960497
2025-02-11,2025_02.csv,109.65958380860707,111.1146675098238,108.10124261854972,100.0,106.45077078471954,114.19394068789958
2025-02-12,2025_02.csv,109.65958380860707,111.1146675098238,108.10124261854972,100.0,106.45077078471954,114.19394068789958
2025-02-13,2025_02.csv,109.69822253859437,111.1364732475526,108.10453140137255,100.0,106.70358909288558,114.19434444164887
2025-02-14,2025_02.csv,109.71767385249753,111.1663925082454,108.10453140137255,100.0,106.70358909288558,114.19434444164887
2025-02-15,2025_02.csv,109.71869501353079,111.17499491672514,108.10453140137255,100.0,106.69637669746513,114.16195787613634
2025-02-16,2025_02.csv,109.71915579519957,111.17499491672514,108.10453140137255,100.0,106.70115730727865,114.16195787613634
2025-02-17,2025_02.csv,109.7388823652475,111.20487669259582,108.10453140137255,100.0,106.70426592737206,114.16195787613634
2025-02-18,2025_02.csv,109.7388823652475,111.20487669259582,108.10453140137255,100.0,106.70426592737206,114.16195787613634
2025-02-19,2025_02.csv,109.80218848735885,111.27033832846278,108.51712929195878,100.0,106.70426592737206,114.28721381682011
2025-02-20,2025_02.csv,109.8664811321546,111.32403817739282,108.51712929195878,100.0,106.70426592737206,114.53269053590556
2025-02-21,2025_02.csv,109.82005928748464,111.24834785552511,108.51712929195878,100.0,106.70104612109256,114.55856425248754
2025-02-22,2025_02.csv,109.81724476858487,111.24401867112626,108.51712929195878,100.0,106.70104612109256,114.55856425248754
2025-02-23,2025_02.csv,109.82475402749095,111.25569291250731,108.50633976023373,100.0,106.70177279883525,114.55856425248754
2025-02-24,2025_02.csv,109.84831488713426,111.32884172768378,108.50633976023373,100.0,106.45282314684732,114.55856425248754
2025-02-25,2025_02.csv,109.84831488713426,111.32884172768378,108.50633976023373,100.0,106.45282314684732,114.55856425248754
2025-02-26,2025_02.csv,109.87860577397694,111.37513615688621,108.51447913167648,100.0,106.45282314684732,114.55923338541128
2025-02-27,2025_02.csv,109.91039166254315,111.42444833879846,108.49488966637603,100.0,106.45282314684732,114.55923338541128
2025-02-28,2025_02.csv,109.95576725594032,111.48809737183585,108.54488318917069,100.0,106.46952269472013,114.57334173448464
2025-03-01,2025_03.csv,110.00089369035875,111.55399261026741,108.56325947189077,100.0,106.47526264547834,114.58567838688619
2025-03-02,2025_03.csv,110.13670353290561,111.66924365224091,108.5838205099139,100.0,106.75133560848543,114.86962836145312
2025-03-03,2025_03.csv,110.13776700403453,111.66924365224091,108.5838205099139,100.0,106.75133560848543,114.878513627521
2025-03-04,2025_03.csv,110.13776700403453,111.66924365224091,108.5838205099139,100.0,106.75133560848543,114.878513627521
2025-03-05,2025_03.csv,110.13776700403453,111.66924365224091,108.5838205099139,100.0,106.75133560848543,114.878513627521
2025-03-06,2025_03.csv,110.13776700403453,111.66924365224091,108.5838205099139,100.0,106.75133560848543,114.878513627521
2025-03-07,2025_03.csv,110.27540116710313,111.86449359746962,108.57427844861192,100.0,106.75133560848543,114.96899836480354
2025-03-08,2025_03.csv,110.39640102897849,112.06602174375374,108.82540392065579,100.0,106.68641799481567,114.90829779310816
2025-03-09,2025_03.csv,110.38052534434748,111.9753549026493,108.87906444245924,100.0,107.02993120767302,114.98525506116242
2025-03-10,2025_03.csv,110.39270903760284,111.99639113727417,108.87906444245924,100.0,107.02040675458427,114.98045506955465
2025-03-11,2025_03.csv,110.39381354024816,111.99639113727417,108.87906444245924,100.0,107.03186596952956,114.98045506955465
2025-03-12,2025_03.csv,110.35796341329024,111.93871560923301,108.83075714049785,100.0,106.99745502054672,115.02755128041593
2025-03-13,2025_03.csv,110.372557283617,111.95987708782728,108.89069930306734,100.0,106.99745502054672,115.02755128041593
2025-03-14,2025_03.csv,110.38796995169535,111.98111916297393,108.8964938309752,100.0,107.01324357581976,115.02755128041593
2025-03-15,2025_03.csv,110.39127482208463,112.0105747266835,108.8964938309752,100.0,107.01324357581976,114.89516698325373
2025-03-16,2025_03.csv,110.34551510342138,112.02117056983329,109.04996363389405,100.0,106.07730289526843,115.19111497402636
2025-03-17,2025_03.csv,110.3417045136848,112.01409073862386,109.04996363389405,100.0,106.07730289526843,115.19773376572363
2025-03-18,2025_03.csv,110.3417045136848,112.01409073862386,109.04996363389405,100.0,106.07730289526843,115.19773376572363
2025-03-19,2025_03.csv,110.37798343058381,112.07450804559132,109.07732374787392,100.0,106.08431047767553,115.16383672173933
2025-03-20,2025_03.csv,110.37057517643298,112.08801176834166,109.10164404025483,100.0,106.08752152223941,115.02317111245844
2025-03-21,2025_03.csv,110.41025914109031,112.14374527281026,109.2271418829469,100.0,106.08752152223941,115.0373691748104
2025-03-22,2025_03.csv,110.43944109358472,112.17238702816871,109.32231770637195,100.0,106.08752152223941,115.11451413527185
2025-03-23,2025_03.csv,110.46889901931311,112.20034290014104,109.36129803497273,100.0,106.08752152223941,115.20424035463532
2025-03-24,2025_03.csv,110.49811564862307,112.20034290014104,109.36129803497273,100.0,106.3906440513302,115.20424035463532
2025-03-25,2025_03.csv,110.49811564862307,112.20034290014104,109.36129803497273,100.0,106.3906440513302,115.20424035463532
2025-03-26,2025_03.csv,110.54104188487537,112.25741009498641,109.36840739632055,100.0,106.39104164328756,115.2517619076287
2025-03-27,2025_03.csv,110.6817106507922,112.37227453099497,109.43621816854193,100.0,106.43328461578643,115.7612035607377
2025-03-28,2025_03.csv,110.75335492720068,112.46504213927302,109.69462988679466,100.0,106.50716911448299,115.76627657745645
2025-03-29,2025_03.csv,110.9363378974013,112.7215057949949,109.75674257737074,100.0,106.51137046299124,115.89141404400809
2025-03-30,2025_03.csv,111.0419905616139,112.75099725092385,109.75129152556855,100.0,106.70472213132474,116.45887685632621
2025-03-31,2025_03.csv,111.06455907564,112.75881031997464,109.75129152556855,100.0,106.7193149784023,116.59324551761928
2025-04-01,2025_04.csv,111.06455907564,112.75881031997464,109.75129152556855,100.0,106.7193149784023,116.59324551761928
2025-04-02,2025_04.csv,111.43990449475343,113.11121777781445,109.81272331348029,100.0,107.30105011875948,117.33941102290825
2025-04-03,2025_04.csv,111.51480082004997,113.15825672304571,109.8169408737663,100.0,107.54054822668468,117.51630282509802
2025-04-04,2025_04.csv,111.55161048006454,113.21424231275769,109.8169408737663,100.0,107.52472345525503,117.53248811382971
2025-04-05,2025_04.csv,111.7622443277597,113.5340130163343,109.93834303434281,100.0,107.51729176288292,117.54723478233942
2025-04-06,2025_04.csv,112.0019037154754,113.78051762658943,109.95064028145137,100.0,107.86410536893678,117.92989859800585
2025-04-07,2025_04.csv,112.11900419699587,113.8866661072845,109.9202017184526,100.0,107.90004296996561,118.30630051882562
2025-04-08,2025_04.csv,112.11900419699587,113.8866661072845,109.9202017184526,100.0,107.90004296996561,118.30630051882562
2025-04-09,2025_04.csv,112.22460821406311,114.01660523015984,110.09765508466795,100.0,108.03101616484474,118.35666104602427
2025-04-10,2025_04.csv,112.22697937363051,114.00365413621114,110.51736795891854,100.0,108.08222501007619,118.35666104602427
2025-04-11,2025_04.csv,112.26781908035244,114.04884189137381,110.57756002537144,100.0,108.07579272288396,118.45058927760668
2025-04-12,2025_04.csv,112.27271225037966,114.05952797431398,110.68951487790589,100.0,108.08553490467571,118.41253261117188
2025-04-13,2025_04.csv,112.39723273436265,114.19521602358138,111.74616838364355,100.0,108.15863772705904,118.53383923157591
2025-04-14,2025_04.csv,112.39723273436265,114.19521602358138,111.74616838364355,100.0,108.15863772705904,118.53383923157591
2025-04-15,2025_04.csv,112.39723273436265,114.19521602358138,111.74616838364355,100.0,108.15863772705904,118.53383923157591
2025-04-16,2025_04.csv,112.6503384848466,114.27032092767246,111.79566684015631,100.0,108.36048697816261,120.07225731572335
2025-04-17,2025_04.csv,112.9021549944435,114.49915811989008,111.9681446954005,100.0,108.4437501707748,120.846025719542
2025-04-18,2025_04.csv,113.01572724086243,114.65713221044577,111.9681446954005,100.0,108.57973709446321,120.82732629628259
2025-04-19,2025_04.csv,112.92804571422593,114.72205087891238,111.9681446954005,100.0,107.43926122488867,120.66054854700666
2025-04-20,2025_04.csv,112.92804571422593,114.72205087891238,111.9681446954005,100.0,107.43926122488867,120.66054854700666
2025-04-21,2025_04.csv,113.01177919889862,114.845761595177,111.9681446954005,100.0,107.43926122488867,120.6881686449061
2025-04-22,2025_04.csv,113.01856829375369,114.85620431898724,111.9681446954005,100.0,107.43926122488867,120.6881686449061
2025-04-23,2025_04.csv,113.05461908570024,114.89294349094143,111.9681446954005,100.0,107.55628326798929,120.69557480279954
2025-04-24,2025_04.csv,113.0722173707093,114.92382686382439,111.59065654226082,100.0,107.55679829952582,120.71843981994677
2025-04-25,2025_04.csv,113.10180712799695,114.9485681574111,111.71051598369121,100.0,107.64437777433794,120.74677384966827
2025-04-26,2025_04.csv,113.13331342511198,114.99190415348163,111.83464595522734,100.0,107.65570104765143,120.75102923330611
2025-04-27,2025_04.csv,113.2602506422889,115.17236320791787,112.59447644999995,100.0,107.65570104765143,120.74280711432473
2025-04-28,2025_04.csv,113.26482146123674,115.17684172786797,112.71341185463186,100.0,107.65570104765143,120.74280711432473
2025-04-29,2025_04.csv,113.26482146123674,115.17684172786797,112.71341185463186,100.0,107.65570104765143,120.74280711432473
2025-04-30,2025_04.csv,113.46209167379932,115.40870427568844,112.78973926134904,100.0,107.71402354008157,121.07570155809229
2025-05-01,2025_05.csv,113.62462866467573,115.6047532177946,112.90433258465568,100.0,107.83909012185302,121.2547239855133
2025-05-02,2025_05.csv,114.12674692351857,115.92469019705457,112.88296823626698,100.0,109.06754139049478,122.7252963247973
2025-05-03,2025_05.csv,114.12674692351857,115.92469019705457,112.88296823626698,100.0,109.06754139049478,122.7252963247973
2025-05-04,2025_05.csv,114.43282357308738,115.92619868892004,113.37980038595786,100.0,109.66032438673312,124.73908690685572
2025-05-05,2025_05.csv,114.49967911968585,115.94446603861931,113.37980038595786,100.0,110.17585807709469,124.78328015597718
2025-05-06,2025_05.csv,114.49967911968585,115.94446603861931,113.37980038595786,100.0,110.17585807709469,124.78328015597718
2025-05-07,2025_05.csv,114.51596759162555,115.95091262162977,113.38863627296145,100.0,110.23781920921992,124.83342627211125
2025-05-08,2025_05.csv,115.00184377341171,116.45301808056423,113.74664281961647,100.0,110.67438674258183,125.77228035320675
2025-05-09,2025_05.csv,115.78221404887684,117.06179516160098,113.91551881726696,100.0,110.96953487683523,128.72813430669427
2025-05-10,2025_05.csv,116.06779438447772,117.41484425236523,114.76959938459275,100.0,111.29889281839112,128.83168095219835
