date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos,Prendas de Vestir y Calzado
2024-11-30,2024_11.csv,108.60408699087277,109.01879836433932,105.89081121780069,107.79525899540619,108.70075158453389,107.22422267668446
2024-12-01,2024_12.csv,108.25197557578204,108.49143996353409,104.88248967954802,107.82649426020969,108.71574396821008,107.22422267668446
2024-12-02,2024_12.csv,108.3496505130268,108.51539176919117,104.88248967954802,108.10894976713428,109.17425284361438,107.22422267668446
2024-12-03,2024_12.csv,108.35127241885364,108.51539176919117,104.88248967954802,108.1150043716094,109.18292805213721,107.22422267668446
2024-12-04,2024_12.csv,108.6855110264176,108.64414093309358,104.90138123435862,108.38482638422634,111.05665331684607,107.22422267668446
2024-12-05,2024_12.csv,108.70092128925337,108.67046805479617,104.90138123435862,108.38482638422634,111.04240220673461,107.22422267668446
2024-12-06,2024_12.csv,108.75235147298386,108.71730929911888,104.66971481748716,108.63101514364362,111.04641483582522,107.22422267668446
2024-12-07,2024_12.csv,108.54923669689119,108.70925794780875,104.66971481748716,106.52704480082608,111.08745397829314,107.22422267668446
2024-12-08,2024_12.csv,108.50591214739883,108.69863804926638,104.64507249701852,106.19160125777974,111.05616807643621,107.22422267668446
2024-12-09,2024_12.csv,108.46748468425898,108.63953040784082,104.64507249701852,106.19160125777974,111.05616807643621,107.22422267668446
2024-12-10,2024_12.csv,108.46503993556487,108.63780941939599,104.64507249701852,106.19160125777974,111.04509032656853,107.22422267668446
2024-12-11,2024_12.csv,108.46123333781432,108.6141095443225,104.64507249701852,106.3115634758692,111.04541369142598,107.22422267668446
2024-12-12,2024_12.csv,108.40131392919866,108.63615191550497,104.62620063465202,106.05130748977184,110.63684279032478,107.22422267668446
2024-12-13,2024_12.csv,108.38583978794115,108.6348458442038,104.62620063465202,105.8995728110774,110.63684279032478,107.22422267668446
2024-12-14,2024_12.csv,108.42503139600291,108.62636081783013,104.62620063465202,106.3520946288686,110.64596132223849,107.22422267668446
2024-12-15,2024_12.csv,108.5634427531102,108.86975749865483,104.62620063465202,106.27536084975031,110.54209799809892,107.22422267668446
2024-12-16,2024_12.csv,108.55257529565135,108.88741544974978,104.62620063465202,105.95206790779235,110.61573366646931,107.22422267668446
2024-12-17,2024_12.csv,108.55257529565135,108.88741544974978,104.62620063465202,105.95206790779235,110.61573366646931,107.22422267668446
