date,la_paz_cpi,cochabamba_cpi,santa_cruz_cpi,cpi
2024-10-18,108.150781,108.621335,108.323514,108.31384974443446
2024-10-19,108.165115,108.615888,108.346046,108.32773990726923
2024-10-20,108.148907,108.627322,108.309946,108.30865355148059
2024-10-21,108.10291,108.60674,108.314806,108.28868610661799
2024-10-22,108.092978,108.609734,108.320275,108.2876527907246
2024-10-23,108.059456,108.663563,108.391899,108.31470963601855
2024-10-24,108.083368,108.679033,108.405118,108.33254671898305
2024-10-25,108.115999,108.730842,108.431408,108.36627451154442
2024-10-26,108.133107,108.727722,108.433622,108.37327522829571
2024-10-27,108.162573,108.791058,108.385906,108.37731404367742
2024-10-28,108.167778,108.796269,108.398611,108.38563056887884
2024-10-29,108.163323,108.799405,108.408586,108.38863491557176
2024-10-30,108.341401,108.948075,108.591282,108.5629137675464
2024-10-31,108.344785,108.950877,108.591251,108.5647684282198
2024-11-01,108.284067,108.873272,108.631506,108.54264407226509
2024-11-02,108.581314,109.183758,108.75304,108.7695928138767
2024-11-03,108.806606,109.408529,108.763994,108.90589448458988
2024-11-04,108.841145,109.454854,108.776466,108.93357212826817
2024-11-05,108.840384,109.458246,108.781989,108.93622416855003
2024-11-06,108.871344,109.506298,108.854954,108.98792541920736
2024-11-07,108.847405,109.484505,108.854255,108.97404137755629
2024-11-08,108.892109,109.502029,108.88866,109.0091928572349
2024-11-09,108.57726,109.214761,108.897433,108.83391391201806
2024-11-10,108.582531,109.226582,108.95371,108.86161058129204
2024-11-11,108.598954,109.245437,108.949732,108.87004555370851
2024-11-12,108.594497,109.24301,108.951054,108.86837964072686
2024-11-13,108.61461,109.268821,109.020158,108.90991710709451
2024-11-14,108.642764,109.285419,109.03254,108.92928477004538
2024-11-15,108.64052,109.283746,109.00686,108.91743247081634
2024-11-16,108.658746,109.32253,109.007557,108.93238358595563
2024-11-17,108.653481,109.325454,108.987438,108.92254962896627
2024-11-18,108.659893,109.32683,109.017917,108.93796401416647
2024-11-19,108.637843,109.318472,109.023239,108.92992608876592
2024-11-20,108.67981,109.366959,109.187521,109.0238858105504
2024-11-21,108.768829,109.472816,109.225468,109.09499631741943
2024-11-22,108.787378,109.476198,109.239897,109.10888957735938
2024-11-23,108.484141,109.238091,109.250484,108.94845544507476
2024-11-24,108.512766,109.315126,109.283282,108.98821764790745
2024-11-25,108.520364,109.32704,109.25162,108.98037260015329
2024-11-26,108.533925,109.337098,109.27564,108.99759042824638
2024-11-27,108.560276,109.377608,109.337592,109.04145693237788
2024-11-28,108.611025,109.411824,109.324666,109.06258643670344
2024-11-29,108.759261,109.50736,109.333973,109.14296636170747
2024-11-30,108.797888,109.530131,109.311375,109.1531214653435
2024-12-01,108.369401,109.14555,109.264658,108.89149147162598
2024-12-02,108.503547,109.270315,109.295925,108.98114921840825
2024-12-03,108.525446,109.272391,109.285003,108.9855850429031
2024-12-04,109.067148,109.664963,109.236905,109.2537107749296
2024-12-05,109.077585,109.671576,109.24195,109.26116858839333
2024-12-06,109.120669,109.73007,109.291401,109.30988740970017
2024-12-07,108.808036,109.461847,108.961258,108.99862211205809
2024-12-08,108.767631,109.417842,108.980026,108.98205749793007
2024-12-09,108.77969,109.370084,109.183936,109.06205679915978
2024-12-10,108.783013,109.366179,109.197839,109.06836299898106
2024-12-11,108.806549,109.346251,109.240857,109.09153293204318
2024-12-12,108.699687,109.262356,109.322533,109.06732313149482
2024-12-13,108.681897,109.253265,109.245633,109.02670966478718
2024-12-14,108.785232,109.356454,109.34171,109.12700629696383
2024-12-15,108.923343,109.475416,109.3301,109.19930495295165
2024-12-16,108.897775,109.463447,109.161551,109.11708308411556
2024-12-17,108.89809,109.463597,109.161613,109.11726110000079
2024-12-18,108.95123,109.508631,109.164496,109.14798370392081
2024-12-19,108.986675,109.529284,109.173058,109.16940568257301
2024-12-20,108.986675,109.529284,109.173058,109.16940568257301
2024-12-21,108.986191,109.528981,109.200717,109.18062816524534
2024-12-22,109.015342,109.541376,109.208274,109.19756794235909
2024-12-23,109.05678,109.557023,109.219092,109.22129590517436
2024-12-24,109.060012,109.568163,109.24374,109.23494604451835
2024-12-25,109.15267,109.619172,109.293019,109.30152127908487
2024-12-26,109.19873,109.641999,109.309069,109.33062126550976
2024-12-27,109.396063,109.936351,109.741717,109.64439469213217
2024-12-28,109.345033,109.864479,109.70336,109.59457053865823
2024-12-29,109.373725,109.834841,109.742032,109.61606722543357
2024-12-30,109.381012,109.836179,109.822286,109.65245874749107
2024-12-31,109.380569,109.829129,109.834065,109.65580057582389
2025-01-01,109.129845,109.600554,110.05008,109.60294383913447
2025-01-02,109.927205,110.376121,109.959865,110.0279789264176
2025-01-03,109.947178,110.393814,109.959904,110.03924197678015
2025-01-04,110.084389,110.613912,109.971046,110.14027618630536
2025-01-05,110.358059,110.809628,109.987403,110.29208740894566
2025-01-06,110.358464,110.811916,110.036429,110.3130221341874
2025-01-07,110.667605,111.08563,110.234189,110.5690879514983
2025-01-08,110.666738,111.084603,110.234189,110.56854941926623
2025-01-09,110.743126,111.201368,110.272713,110.63708036455823
2025-01-10,110.721956,111.198244,110.271552,110.62771492611864
2025-01-11,110.767939,111.29245,110.300901,110.67616982655682
2025-01-12,110.738157,111.274282,110.237306,110.63462181129788
2025-01-13,110.66271,111.218499,110.243837,110.59699321585364
2025-01-14,110.415995,110.922341,110.200314,110.4249375781526
2025-01-15,110.458887,110.944008,110.286985,110.48186111520211
2025-01-16,110.459433,110.933703,110.355287,110.50839804672852
2025-01-17,110.45724,110.970478,110.407682,110.53641539988814
2025-01-18,110.513165,111.025017,110.408854,110.56936421745588
2025-01-19,110.528569,111.018412,110.448796,110.59066789143121
2025-01-20,110.553752,111.036267,110.474265,110.61454558827955
2025-01-21,110.552489,111.041138,110.471808,110.6139793231768
2025-01-22,110.596443,111.103921,110.572052,110.68493628990944
2025-01-23,110.59269,111.114249,110.582338,110.68974156204668
2025-01-24,110.599417,111.120453,110.576988,110.69135842939856
2025-01-25,110.608797,111.145169,110.617043,110.71643975364825
2025-01-26,110.614163,111.153742,110.666845,110.74085716623773
2025-01-27,110.632557,111.137611,110.696015,110.7570115408385
2025-01-28,110.636148,111.133887,110.697961,110.75849894988065
2025-01-29,110.806666,111.32257,110.759386,110.88730415300944
2025-01-30,110.848553,111.3149,110.812941,110.92440056900955
2025-01-31,110.904696,111.307159,110.720591,110.90654798878273
2025-02-01,110.86198,111.356606,110.715321,110.89726968201492
2025-02-02,111.285935,111.731312,110.881028,111.20455584578914
2025-02-03,111.42171,111.878104,110.920945,111.3027178608294
2025-02-04,111.421064,111.878647,110.921004,111.30259527046914
